t_abs,ym,n,alpha,beta,r2,resid_std,mean_anom
24193,2016-02,36,0.7691526242173873,-0.5216728384335164,0.8323476994044481,0.41548834353153763,-0.49751983341200845
24194,2016-03,17,0.22469200339928394,-0.4913389499369654,0.08484821874802773,0.5923087914298614,-0.5244777114984465
24198,2016-07,65,1.0844418871803552,0.2120471299845045,0.3658666351998682,0.7076353711110949,0.9688098405747353
24199,2016-08,31,0.706230200368063,0.20390513266340102,0.7030513288325007,0.4894272091745961,0.09589864302430233
24200,2016-09,50,0.9964302304697693,0.6268077542603663,0.39921075334502365,0.788575581164489,0.9098807446195754
24204,2017-01,29,-0.48639107993515973,0.5461676584738812,0.19971069627911675,1.1200698286906383,0.6172534471632624
24205,2017-02,49,0.18446210462436352,-0.482110243437512,0.016957540090774104,1.4939806597483434,-0.4920262059500227
24206,2017-03,41,0.5101421227336395,0.09800703474785287,0.06109847819038794,1.3865786922059078,0.04539434504404691
24207,2017-04,21,1.4350121529201856,-0.0196576218771747,0.3128852274921561,1.1077187115829343,0.7226524366028576
24208,2017-05,4,-3.448863212538304,2.1630985007641796,0.8704579645081769,0.39822529732219664,0.26779537082019467
24209,2017-06,34,0.06890249435175622,0.4790716932173044,0.0014273389116449264,1.1928105590916147,0.5130430688631475
24227,2018-12,31,0.6816155520546805,-0.6500815705911624,0.20970511241347023,0.6746306148896513,-0.44756213510629456
